div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,1975,3,40,5464184.9911,4828825.8065,1923922.9164,51935.487765,110820.30499,0.0049368372,0.0108661623,0.0157740682,0.0197479076,
IV,1975,4,11,0,0,0,0,0,0.0074234158,0.0135115682,0.0207068701,0.0207351595,
IV,1976,1,54,2632882.7615,42301707.907,2338418.3956,149598.17498,342793.6129,0.0048555853,0.0070885943,0.0120419486,0.0132464743,
IV,1976,2,70,8098309.8673,18478138.701,1259221.509,68461.069536,226686.0821,0.0045115599,0.0091275272,0.016028963,0.0190815713,
IV,1976,3,53,7937962.9257,6751324.1002,208981.08385,6420.7992618,60500.751543,0.0022508643,0.0059665963,0.0107567515,0.0160557792,
IV,1976,4,16,0,0,0,0,0,0.0043954111,0.0075671872,0.0114531498,0.0182847258,
IV,1977,1,37,3183017.5106,12747886.569,4755572.3303,81352.867856,187143.24244,0.0054285507,0.0084277872,0.0128225827,0.0178320192,
IV,1977,2,51,2892246.9245,4911455.6819,3321205.7865,46607.780765,123756.00602,0.0060438013,0.0112595354,0.015063785,0.0202816162,
IV,1977,3,32,15928875.64,1993492.8336,1989016.2534,27993.071508,74314.601115,0.0022999016,0.0079167346,0.0108089663,0.0142389019,
IV,1977,4,18,0,0,0,0,0,0.0030650843,0.0078113413,0.0118023786,0.014929072,
IV,1978,1,52,602516.75344,32139046.656,348836.61486,72122.338385,229872.77114,0.0038502118,0.0069168279,0.0120595622,0.0144366147,
IV,1978,2,78,5705383.9062,10377769.189,1013377.1197,92383.341694,152012.62775,0.0045397389,0.0104199291,0.0159742232,0.0193549192,
IV,1978,3,47,6376213.356,4916626.8592,958349.14097,22574.397005,77409.685335,0.0031765689,0.0091074979,0.0125172179,0.0168850766,
IV,1978,4,22,0,0,0,0,0,0.0038380539,0.0093228623,0.0149025376,0.0181446411,
IV,1979,1,86,4214085.5946,36465329.222,453562.08234,74392.566557,239446.60422,0.0049805103,0.0058928407,0.0066073801,0.0112484566,
IV,1979,2,55,1164567.609,11587774.626,1827630.9707,44542.685941,158343.71045,0.0054429397,0.0106362432,0.0152952733,0.0179736762,
IV,1979,3,90,4036717.0141,6323162.9949,259710.01274,21194.898589,66348.831727,0.0033698777,0.0077481575,0.0130968799,0.0165764022,
IV,1979,4,9,0,0,0,0,0,0.0033224782,0.012469779,0.0143797896,0.0176194834,
IV,1980,1,0,0,14587998.992,17390596.912,1161387.9626,205232.7481,0.005726121,0.0051625045,0.006911098,0.0083786861,
IV,1980,2,0,0,9646901.8466,11500232.592,768014.56367,135718.42017,0.0051415345,0.005136837,0.0069394936,0.0082774858,
IV,1980,3,49,2691366.1817,3780165.9691,322964.73203,6574.1210539,46491.422968,0.0033026365,0.0087710124,0.0134164421,0.017325314,
IV,1980,4,28,0,0,0,0,0,0.0068851512,0.0119992827,0.0166682126,0.0314127893,
IV,1981,1,61,572160.0708,12419951.399,1268925.0237,104216.40955,143809.0506,0.0067053765,0.0098075601,0.0129987622,0.0160110618,
IV,1981,2,32,572157.05351,3805635.4613,2724966.4134,155343.27732,95099.526433,0.0064852805,0.0122851207,0.015296802,0.0189951769,
IV,1981,3,29,431271.67024,3870247.5962,250876.27945,5515.3451318,41318.651617,0.0049563123,0.0090353219,0.0163082198,0.0219127228,
IV,1981,4,14,0,0,0,0,0,0.0069180574,0.0149793486,0.0206788367,0.0222905441,
IV,1982,1,27,626083.27172,6360664.3952,530165.09345,45827.217756,72839.22772,0.0084341919,0.0089603673,0.0181832694,0.02016238,
IV,1982,2,48,925424.24291,5064168.396,934724.90013,41582.169693,79242.120663,0.0071880248,0.0111250643,0.0164039776,0.022062017,
IV,1982,3,13,2575954.8395,365722.29985,38294.409805,2979.0456313,10926.175756,0.002937138,0.007823783,0.0117076813,0.0169753407,
IV,1982,4,16,0,0,0,0,0,0.0055693618,0.0101806523,0.0152122866,0.0194044141,
IV,1983,1,11,5809991.0483,2713858.6965,923552.31979,110528.48792,65531.30251,0.00478595,0.009043886,0.0124923568,0.014870662,
IV,1983,2,44,2417955.0775,1374659.9433,522909.9356,74360.351975,38342.521734,0.0042958326,0.0126753227,0.017163591,0.0209308472,
IV,1983,3,27,1748198.8953,548159.72726,5487.9193146,0,11556.31374,0.0035307932,0.0096546677,0.0166702569,0.0166936455,
IV,1983,4,8,0,0,0,0,0,0.0050064807,0.0121214297,0.017242908,0.0165640601,
IV,1984,1,9,141263.22098,7358074.2021,348257.9524,1949.3884682,63254.840349,0.0051394021,0.0079032103,0.0124722847,0.0168521357,
IV,1984,2,23,570273.36361,2548528.8615,187371.93001,3503.7710694,37988.845911,0.0053922263,0.0123861024,0.0175530051,0.0167028735,
IV,1984,3,29,405094.96203,612406.76239,10648.163528,1053.1150742,12282.82631,0.0092920147,0.0135340214,0.0196860311,0.0196860311,
IV,1984,4,7,0,0,0,0,0,0.009292,0.013534,0.019686,0.019686,
IV,1985,1,4,0,1304456.6589,1972026.695,37679.586816,39552.243476,0.005726121,0.0092920147,0.0135340214,0.0196860311,
IV,1985,2,4,0,576003.84988,870780.15256,16638.028501,17464.930214,0.0051415345,0.0092920147,0.0135340214,0.0196860311,
IV,1985,3,0,84760.311666,215856.07081,150819.07787,14916.172537,5496.3989361,0.0072579963,0.009879995,0.0165839916,0.0165839916,
IV,1985,4,4,0,0,0,0,0,0.007258,0.00988,0.016584,0.016584,
IV,1986,1,4,0,177779.78691,452745.45972,347619.97593,11528.374689,0.005726121,0.0072579963,0.009879995,0.0165839916,
IV,1986,2,1,0,156912.80215,399604.25188,306817.92039,10175.226375,0.0051415345,0.0072579963,0.009879995,0.0165839916,
IV,1986,3,0,591964.97231,47174.899441,395.66482781,0,5816.1332455,0.0085270558,0.01610197,0.022256464,0.0166936455,
IV,1986,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1987,1,16,4121.8790323,2281019.032,97920.085616,798.27754377,20978.883125,0.0064705977,0.0086597758,0.0121201034,0.0154045929,
IV,1987,2,15,67522.195923,1814200.9766,225645.95283,920.61899331,20004.983629,0.005881119,0.0093873585,0.0113535945,0.0167604508,
IV,1987,3,4,238806.83371,805045.99976,38349.669419,22186.14163,12992.054095,0.0067381943,0.0127239936,0.0175873576,0.0209616336,
IV,1987,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
