div,year,hy,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1985,2,86286.247946,265826.22313,7667.3027243,0,6222.1096616,0.0102965047,0.0192980204,0.0265729736,0.0105176849
IV,1986,1,284604.45601,500744.13213,753004.06923,7524.1907161,20977.890338,0.0071443243,0.0124240728,0.0166967444,0.02001355
IV,1986,2,841177.5495,67035.159453,562.23659481,0,8264.679398,0.0085477131,0.0158474208,0.0217002486,0.0085619185
IV,1987,1,71237.905043,3832916.1248,311781.79166,1641.030735,38535.320602,0.0059121669,0.0089966626,0.0115598946,0.0161682382
IV,1987,2,347088.9704,1170077.8526,55738.552651,32245.999563,18883.038685,0.00686403,0.0127048211,0.0173820796,0.0206576895
IV,1988,1,5240972.9526,2095876.8555,2920187.5216,38862.859531,77216.961315,0.0044260703,0.0089707449,0.0118750694,0.0139051304
IV,1988,2,1956676.0867,683734.18364,63145.809491,5635.5975779,21536.426118,0.0053489502,0.0142904263,0.0191405237,0.0161058972
IV,1989,1,15529.048413,1938084.3514,3444391.652,3944.3572743,51363.573882,0.0055775581,0.0086004215,0.0100292486,0.0162148862
IV,1989,2,553629.6527,450280.46936,18919.556182,10350.203144,6762.8418065,0.0047943947,0.0082390044,0.0124899489,0.0156862319
IV,1990,1,3444.7775255,4929471.1922,3861955.9719,407669.09089,75637.158194,0.0040502565,0.0070070856,0.0094125732,0.0115246774
IV,1990,2,365017.86581,72536.62348,2783.7857934,612.28175055,2424.1044272,0.0045484221,0.0099022668,0.0130824305,0.0149497031
IV,1991,1,1671316.7955,4720773.7191,2822220.3307,15977.001948,123575.89557,0.0057364425,0.0144401293,0.0161424421,0.016455434
IV,1991,2,738903.52536,95130.973775,1726.9301015,190.42881593,5482.9394587,0.0059427793,0.0111639629,0.0152577573,0.0179128877
IV,1992,1,298839.15886,10790399.843,1181726.7383,160225.74602,129317.06054,0.0060578989,0.010156729,0.0130286323,0.0156819625
IV,1992,2,1999559.1689,1927347.4699,255131.40555,5597.049718,29661.577605,0.0038887318,0.0095060434,0.0136062773,0.0166142796
IV,1993,1,1681381.6115,8039491.7813,5181860.6347,1138845.5371,179538.42239,0.0078139838,0.0106728324,0.0126687493,0.013121736
IV,1993,2,8833911.2892,2396085.3335,321820.43261,30963.428465,47056.420755,0.0023676696,0.0091105463,0.0119941673,0.0145663113
IV,1994,1,3615803.0592,43989110.429,1636595.8368,195363.35337,369043.57925,0.0073756807,0.0072728988,0.0119784873,0.0145107197
IV,1994,2,4370679.1096,4134436.0447,547663.43274,16881.956451,54429.094824,0.0035981712,0.0079797801,0.0099086492,0.0168314672
IV,1995,1,907165.13737,32172114.047,4642786.9258,625712.52252,358270.90518,0.0046987413,0.0088396395,0.0130098468,0.0147285781
IV,1995,2,2257533.3111,5152202.6644,479886.27624,93258.644797,77509.199241,0.0080891623,0.0099459552,0.0134239712,0.01675008
IV,1996,1,1273239.7122,1137266.0537,2547642.5549,867799.84782,77090.800759,0.0076639491,0.0117408243,0.015281506,0.0173284068
IV,1996,2,1889900.6684,290262.4165,201387.31947,59995.634525,9868.3334093,0.0029488056,0.0063936585,0.0087294996,0.0113597342
IV,1997,1,211017.96475,6866551.7755,939707.2207,378421.17813,109331.66659,0.0059603166,0.0124080043,0.0164556855,0.019546545
IV,1997,2,754778.15799,840124.63161,176665.43992,36353.983975,16212.808435,0.0069123757,0.0098135315,0.0124405814,0.0152139567
IV,1998,1,5687944.0517,6656027.8035,2470552.2525,376177.19738,166487.19157,0.0051174808,0.0134799938,0.0164557155,0.0185870395
IV,1998,2,1953492.0016,1123358.6396,450352.58465,224025.28311,22431.56624,0.0043263012,0.0064951008,0.0098881315,0.0099573507
IV,1999,1,135422.14217,18410649.861,544999.80236,50843.037974,192668.43376,0.0047004057,0.0100147177,0.0125217928,0.0162429609
IV,1999,2,2282149.3889,3380741.0179,572542.25626,141901.63341,50515.941633,0.0042362747,0.0095138583,0.011747655,0.0137997716
IV,2000,1,101870.86932,11098044.924,1566440.1541,81335.593768,165484.05837,0.0065331464,0.0125463346,0.0154028122,0.0177772076
IV,2000,2,3453101.0161,2950237.1947,1100459.1691,128409.43772,62837.841284,0.0042495478,0.0106371968,0.0134316176,0.0155792521
IV,2001,1,675707.94792,9342259.8042,1521397.5372,363483.05528,136462.15872,0.0050493548,0.0113603101,0.0137351315,0.0166376361
IV,2001,2,281034.15974,650074.16957,53528.051863,11107.320232,11210.39704,0.0067210514,0.0127538219,0.015608948,0.0175654683
IV,2002,1,1182583.8887,11011057.965,837320.15367,106044.7224,150089.60296,0.0082474179,0.0114660742,0.0147826863,0.0160726649
IV,2002,2,1334587.2587,1223050.5119,271977.21274,55417.304196,23833.435425,0.0048834414,0.0104141136,0.0137486015,0.0151534511
IV,2003,1,3131192.4677,11031223.467,1346406.038,212449.81124,169166.56458,0.0056537572,0.0115350244,0.0147979783,0.0190699477
IV,2003,2,891913.72889,48284.562474,35197.609781,27337.882547,5816.4883056,0.004907761,0.0116691173,0.0135744435,0.0145571886
IV,2004,1,26309753.816,7866272.9339,743745.92874,94075.653907,210483.51169,0.0042599219,0.0109518854,0.0143794941,0.0165440359
IV,2004,2,6836781.3995,327414.52914,40540.621605,14189.696662,27170.045459,0.0034035871,0.009931912,0.011462173,0.0129621384
