"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 585680.014953575 356408945.789627 1.07066486778362 0 TRUE
1974 569223.403716616 358208390.637066 1.07468718698178 1 TRUE
1974 569217.010537072 358423993.554424 1.06895437570934 2 TRUE
1974 571272.499671874 359589128.227748 1.07125293375138 3 TRUE
1974 568825.300689246 357729768.72132 1.04839680217114 4 TRUE
1974 572474.212016212 360987031.468012 1.06174776386211 5 TRUE
1975 586499.211900673 491590657.778164 1.99300459589324 0 TRUE
1975 572771.54530348 487107030.277064 2.01762824845465 1 TRUE
1975 570890.169523444 487465905.422378 1.99889494749385 2 TRUE
1975 575153.470519627 490400608.360077 2.00700873041378 3 TRUE
1975 564701.150698841 489933703.114123 1.93442912234762 4 TRUE
1975 572008.698191024 491189639.816571 1.97381458978505 5 TRUE
1976 412931.810985636 326726835.953097 1.69475710523594 0 TRUE
1976 401646.152226074 336146333.887369 1.65243363927444 1 TRUE
1976 401628.931430064 337744126.588561 1.63239750663986 2 TRUE
1976 405162.633167008 337331150.485348 1.64858891837205 3 TRUE
1976 402318.003539788 341249289.128191 1.56890374380368 4 TRUE
1976 404873.887727116 341924701.542547 1.60791839819942 5 TRUE
1977 389823.402410067 415758894.476008 1.72461672957639 0 TRUE
1977 392642.268216485 418670424.218573 1.73604849214209 1 TRUE
1977 393796.690682577 420489535.166305 1.7259586366477 2 TRUE
1977 394934.240307309 420502794.722133 1.73027681273864 3 TRUE
1977 396617.485848472 423675216.239351 1.68959867309194 4 TRUE
1977 398093.235472076 425706895.845653 1.71483794396428 5 TRUE
1978 395498.874584548 567288572.257255 1.60534898942977 0 TRUE
1978 392784.705186442 496957593.524997 1.65018266840123 1 TRUE
1978 393564.721253753 497449698.852093 1.63397839868458 2 TRUE
1978 395096.2984904 499799064.445312 1.6424190604444 3 TRUE
1978 393949.859086153 493910576.894735 1.57720875359229 4 TRUE
1978 397460.41940608 505012026.274203 1.61215024908844 5 TRUE
1979 553834.772902672 481045166.447696 0.885981242399463 0 TRUE
1979 488877.601625059 423639467.279929 0.943358145428235 1 TRUE
1979 489088.110333151 430000962.554328 0.934056629721891 2 TRUE
1979 492529.652680688 426437283.026855 0.938276918778074 3 TRUE
1979 485743.54622519 439819986.023687 0.905579415644481 4 TRUE
1979 495914.890090238 447157284.056516 0.918183924638759 5 TRUE
1980 410208.476996828 185581602.281956 2.93059683743352 0 TRUE
1980 349828.48490162 183376952.858708 2.85600869245951 1 TRUE
1980 352942.194576698 184626852.030421 2.84025383219089 2 TRUE
1980 352690.66253788 183297948.636156 2.85036840573721 3 TRUE
1980 356131.511722805 184712658.434795 2.78347924441648 4 TRUE
1980 364064.873367121 188113972.937927 2.82852921546008 5 TRUE
1981 232603.218084923 50474873.8543937 2.07173888391471 0 TRUE
1981 220552.850115691 56516939.1751361 1.72140320064988 1 TRUE
1981 221443.545996328 56285542.7228808 1.69661413323041 2 TRUE
1981 221188.90409798 56209384.9880084 1.73083397826797 3 TRUE
1981 219747.717459789 55469563.6872903 1.65630125467566 4 TRUE
1981 225233.06099536 55968018.61185 1.68860223060017 5 TRUE
1982 92320.3633276676 58218869.2522474 1.91189733803912 0 TRUE
1982 108020.583737418 49413249.2466663 1.25598407321757 1 TRUE
1982 108181.067735323 49206831.9566356 1.24248719165067 2 TRUE
1982 107295.61200982 48611162.31482 1.29215452961291 3 TRUE
1982 105880.6384612 49690699.8689973 1.27234252582157 4 TRUE
1982 107904.801960776 50713266.7505465 1.25309526783426 5 TRUE
1983 82682.5107595233 66390524.370827 3.61664478580089 0 TRUE
1983 88492.4329128067 45457394.5546733 2.50425462984315 1 TRUE
1983 88235.9728033945 45429172.7228911 2.46960230464836 2 TRUE
1983 86370.7154459083 45622769.3565516 2.53430309806863 3 TRUE
1983 86340.3757937107 47040578.9046442 2.52012827418314 4 TRUE
1983 89191.0829306416 47504237.7664341 2.50769875535984 5 TRUE
1984 68228.0060877157 23301388.9743874 2.52858676399706 0 TRUE
1984 56412.1330093761 20276452.00016 1.70423825035967 1 TRUE
1984 56404.4014822985 20351887.7474562 1.68285200723161 2 TRUE
1984 56037.8370569212 20333956.7144089 1.72461288172769 3 TRUE
1984 56303.376542516 20996759.4143431 1.69718246623521 4 TRUE
1984 57948.9883503265 21081652.0798238 1.69567783933547 5 TRUE
1985 48833.9417326026 11994775.6949674 2.57151666682468 0 TRUE
1985 50503.7346219211 13962865.3974193 1.84570446841094 1 TRUE
1985 50572.5104149969 13894330.7033078 1.80361135268164 2 TRUE
1985 50201.9494655716 13789678.9695926 1.85641194352582 3 TRUE
1985 50311.5070932461 14157708.7736167 1.68845871034645 4 TRUE
1985 51658.9588754095 14093513.4659372 1.76501743050816 5 TRUE
1986 18448.0114800147 76238311.9900194 0.47317803166624 0 TRUE
1986 24002.9683536068 62541847.6281406 0.380218922412035 1 TRUE
