"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 500267.06876874 244369668.887838 1.09542428269681 0 TRUE
1974 501662.66387606 239740798.490307 1.10559002614874 1 TRUE
1974 497724.016584591 249577398.373699 1.08252161005622 2 TRUE
1974 500848.800590039 244902922.791752 1.09042684908422 3 TRUE
1974 510774.143253866 247165000.037467 1.1738518419424 4 TRUE
1974 514077.017375818 251699361.628332 1.17906191295395 5 TRUE
1975 477743.06999328 355585670.425968 2.1170023954586 0 TRUE
1975 473629.929411751 349984656.122611 2.11194382482623 1 TRUE
1975 481194.138993372 362385163.668748 2.11218076075403 2 TRUE
1975 478296.549804503 357332398.271275 2.10764818341927 3 TRUE
1975 484041.017309616 358272780.329898 2.24966258777242 4 TRUE
1975 491885.212753991 362323796.648285 2.26522723878458 5 TRUE
1976 306289.94017185 238087590.233185 1.82775562358543 0 TRUE
1976 302179.942732999 240037460.115244 1.82621474684426 1 TRUE
1976 311518.631446261 236595243.903803 1.84152542104641 2 TRUE
1976 308035.695478001 238523451.324854 1.82573583458425 3 TRUE
1976 309307.01352422 245519358.978854 1.91670516106985 4 TRUE
1976 314126.937300385 247928312.423122 1.94688537533014 5 TRUE
1977 294171.423365616 368078273.753199 1.84394463300931 0 TRUE
1977 295129.62715344 368222463.570152 1.83965075666258 1 TRUE
1977 292683.249419512 369865666.653782 1.81079089316435 2 TRUE
1977 295008.702303933 369915175.141665 1.8098124409343 3 TRUE
1977 304089.976038993 373412498.937693 1.91491668820766 4 TRUE
1977 307360.484607964 378495001.035197 1.93394731584291 5 TRUE
1978 344357.227852282 470291002.557727 1.7865249387471 0 TRUE
1978 345887.096527889 467789694.181993 1.79100391994065 1 TRUE
1978 346290.573652432 470049471.246476 1.77263288439442 2 TRUE
1978 347893.248925738 468860840.896962 1.77313676323554 3 TRUE
1978 354600.87931465 473618922.278684 1.90081024416662 4 TRUE
1978 359754.680371173 479434875.956693 1.92245023186361 5 TRUE
1979 474396.410387133 285963934.223453 1.11227983486484 0 TRUE
1979 473220.958763395 286546435.808468 1.11630250989697 1 TRUE
1979 474817.028165 281002759.944811 1.12162430182511 2 TRUE
1979 475247.911752843 283505889.27229 1.11550920207657 3 TRUE
1979 481172.387909676 291810337.501355 1.20186661694246 4 TRUE
1979 488133.387708217 293646415.401713 1.2257613696311 5 TRUE
1980 274275.786058269 171874928.977615 2.63986633125642 0 TRUE
1980 274202.762945714 170990141.162966 2.65349628577841 1 TRUE
1980 270090.861273122 171287037.115142 2.58145057175432 2 TRUE
1980 272375.108026715 169776586.170341 2.60356905452999 3 TRUE
1980 277286.090803088 164503451.33828 2.7811264356647 4 TRUE
1980 279365.290258234 166152720.404301 2.79797377954746 5 TRUE
1981 223705.335763026 71250836.9585277 1.59729400588368 0 TRUE
1981 222972.761303077 71288291.2933318 1.61108171130261 1 TRUE
1981 223915.256026378 71928795.631253 1.55917678413395 2 TRUE
1981 222792.020845109 71157933.3154842 1.5841847403996 3 TRUE
1981 219532.003971562 69632890.2916293 1.77507831104693 4 TRUE
1981 222563.878331271 70362225.982654 1.77891836742374 5 TRUE
1982 141081.815494132 43220870.5529018 1.31277913741806 0 TRUE
1982 140539.672919545 43095381.1735789 1.31125595294516 1 TRUE
1982 142960.27788929 42177977.9207635 1.31451716866806 2 TRUE
1982 140862.695066986 41542825.6555542 1.31333656010141 3 TRUE
1982 133743.780509795 38434100.849611 1.44153255434949 4 TRUE
1982 136152.305418067 39423830.3126657 1.45945644000974 5 TRUE
1983 94325.1911975036 37186049.3387124 1.89816051977684 0 TRUE
1983 94367.8154759954 37281958.6908581 1.9125775792133 1 TRUE
1983 93253.1003061502 38133835.0366007 1.85679958116359 2 TRUE
1983 92213.372935134 37692202.3082732 1.87493025264288 3 TRUE
1983 85565.7620582516 38369283.8336864 2.06058690097445 4 TRUE
1983 87254.8327954142 38851156.8030321 2.06138829040036 5 TRUE
1984 60101.0551619852 17709317.188842 1.73051538325637 0 TRUE
1984 60082.462055277 17810640.166729 1.73253407242778 1 TRUE
1984 61080.9659552718 18019766.039733 1.71458029442297 2 TRUE
1984 60209.5851514849 17990530.4240825 1.71376969974484 3 TRUE
1984 58449.6108698508 18627957.000911 1.82436398525164 4 TRUE
1984 59769.0617112616 18765432.4252125 1.85037270811007 5 TRUE
1985 49462.8835820166 13085459.5992605 1.77566293800167 0 TRUE
1985 49776.6980947266 13140095.4478212 1.7856090320537 1 TRUE
1985 50539.6922865634 12968144.4672096 1.76125053509794 2 TRUE
1985 50384.7633459526 12907882.7305089 1.77030523920301 3 TRUE
1985 51542.6174784536 12551924.8387863 1.92972386946429 4 TRUE
1985 52123.7239087135 12609055.4632892 1.94362728016846 5 TRUE
1986 24672.3561573518 56872801.4476899 0.765307010203246 0 TRUE
1986 24779.9991958961 56466209.6554034 0.773214033959784 1 TRUE
1986 24726.081381814 56702344.599928 0.714182342826943 2 TRUE
1986 24642.2168456765 55606498.8774095 0.730708847214104 3 TRUE
1986 24150.8142783939 52880752.5194852 0.805556483867485 4 TRUE
1986 24365.0095614375 54202040.9136066 0.829072207679621 5 TRUE
1987 54095.3851547712 32261669.8029631 0.529385325127775 0 TRUE
1987 53751.2373754926 32170460.1297234 0.530940463035514 1 TRUE
1987 54282.1061388517 32293685.762805 0.533229902297794 2 TRUE
1987 53259.5296486088 32082253.1064319 0.537314124200672 3 TRUE
1987 50660.1064278461 32965182.19657 0.625684990370553 4 TRUE
1987 51713.4900498977 33299983.1251358 0.629473198453032 5 TRUE
1988 55416.6059918072 41778002.5272636 1.40363664746314 0 TRUE
1988 55166.4647162314 42051974.0082427 1.41256787979284 1 TRUE
1988 55295.6007046278 42856320.4838157 1.36817301120388 2 TRUE
1988 54526.0619584469 42902114.5571618 1.3726405133064 3 TRUE
1988 52816.9258216237 46517358.4754602 1.50706340339651 4 TRUE
1988 53804.3858828967 46811028.5217317 1.52965858647305 5 TRUE
1989 38194.7855808839 37001316.2075513 0.865388665251573 0 TRUE
1989 38301.48174823 36734735.391596 0.861003456076132 1 TRUE
1989 39171.661348417 37776723.2129633 0.826381203703967 2 TRUE
1989 39112.6398039416 37357025.9222089 0.830349913914261 3 TRUE
1989 40991.957336751 36514144.6846958 0.864899240118304 4 TRUE
1989 41272.8773331836 36715990.4558396 0.8841254465852 5 TRUE
1990 33323.2824057912 52246148.2663558 1.45700367675012 0 TRUE
1990 33314.8785965577 52342093.5768105 1.46755043136773 1 TRUE
1990 34397.3106956196 55721330.5476917 1.45999231799767 2 TRUE
1990 34173.1890038063 56773173.2128574 1.48114260061532 3 TRUE
1990 34800.0656882784 64428174.4460829 1.7534754571128 4 TRUE
1990 34939.6398566699 65155784.3566387 1.7611375298441 5 TRUE
1991 75854.3184437917 107368029.940514 0.894268556954252 0 TRUE
1991 75850.6266416351 107141627.309032 0.897826094222227 1 TRUE
1991 80171.1955931619 108891895.62486 0.861116821184227 2 TRUE
1991 81158.1423165864 109794559.452795 0.852998487345234 3 TRUE
1991 88377.6286615342 125012524.162549 0.895478238389449 4 TRUE
1991 89509.0067106729 127370975.670014 0.899497184956674 5 TRUE
1992 122601.384667651 129343047.103679 0.924797646453435 0 TRUE
1992 122421.983886376 127030063.288311 0.923394425268988 1 TRUE
1992 125953.627090417 122758063.44657 0.909933782584444 2 TRUE
1992 127478.838683032 122089280.697754 0.893826500178063 3 TRUE
1992 145010.889019004 106493450.190983 0.915190323909446 4 TRUE
1992 147789.626821467 107094939.260108 0.921105733625821 5 TRUE
1993 191958.201948493 181019484.174714 1.95350508848991 0 TRUE
1993 189622.68377094 177680043.674854 1.97888298022847 1 TRUE
1993 186177.839532493 178871512.396373 1.97166340904356 2 TRUE
1993 186906.90849336 174857425.93797 2.04876320531921 3 TRUE
1993 179566.215853407 155448463.039903 2.62934653816864 4 TRUE
1993 181786.966748917 159139998.819947 2.63655503095653 5 TRUE
1994 178949.059361225 128875618.91335 0.992195164697515 0 TRUE
1994 175254.209409004 127975861.086012 0.983102262809316 1 TRUE
1994 174519.838857237 132012620.176307 0.918540623020847 2 TRUE
1994 169490.830428367 130176717.380795 0.877377807528827 3 TRUE
1994 141769.091354604 123732548.086321 0.545829151933688 4 TRUE
1994 145402.510829074 125056589.69703 0.555558987978136 5 TRUE
1995 232189.153814324 35255630.9032765 1.83805544851529 0 TRUE
1995 230271.951173489 35278483.3308621 1.84586563047595 1 TRUE
1995 238368.390733355 34588361.8873198 1.88619233104888 2 TRUE
1995 237243.752039363 35201109.5069059 1.91705835478894 3 TRUE
1995 243121.175165112 37223555.7204892 2.31610606571129 4 TRUE
1995 247417.646444338 37637444.6790976 2.32225715445327 5 TRUE
1996 105730.707814813 67091282.4259503 1.63295662991203 0 TRUE
1996 105433.117093584 66187141.4937227 1.6449105320128 1 TRUE
1996 103925.55958719 64282485.9682809 1.57033260167066 2 TRUE
1996 103222.298523348 61631851.1512067 1.58164155727223 3 TRUE
1996 94543.5362417727 41900031.4093608 1.68468753041251 4 TRUE
1996 96397.7904829257 42679651.8035837 1.69617561984596 5 TRUE
1997 107265.092642624 57726780.5224418 1.07562942924499 0 TRUE
1997 105991.265071597 57095360.8924906 1.08260649590322 1 TRUE
1997 104385.040342943 56258307.8116467 1.08389342100637 2 TRUE
1997 101193.88817938 56194702.1495505 1.09893716967593 3 TRUE
1997 76225.7233516011 55245360.5803995 1.26992269063281 4 TRUE
1997 77709.8186965783 55791572.7376617 1.27512136233992 5 TRUE
1998 135242.667056937 118125784.250002 1.84868248817786 0 TRUE
1998 133612.090440365 117759013.075063 1.86098551623734 1 TRUE
1998 130671.668552292 119645743.307137 1.82184405742258 2 TRUE
1998 128458.335740722 118776037.524921 1.83925158590079 3 TRUE
1998 111028.593247974 115258103.047428 1.8685147942287 4 TRUE
1998 112704.930671478 116843466.459751 1.8781115259671 5 TRUE
1999 141889.499863217 95793220.38986 1.03654846483413 0 TRUE
1999 141162.758105002 95171470.9076154 1.04356446114157 1 TRUE
1999 143037.026071834 95731179.8802253 1.04427911651617 2 TRUE
1999 141931.209657621 96645275.241854 1.06041403714404 3 TRUE
1999 139284.07553452 101994162.365873 1.34254690141298 4 TRUE
1999 141517.94576946 103443191.111807 1.34696013866504 5 TRUE
2000 210666.079440618 80572972.9714213 1.65055483825484 0 TRUE
2000 209447.435179556 79638760.140912 1.65625276340573 1 TRUE
2000 210607.20437184 78637590.7923575 1.61111374606261 2 TRUE
2000 210745.293398819 77750018.5927543 1.60964924202344 3 TRUE
2000 206326.207354202 69174690.4661863 1.66941647026237 4 TRUE
2000 210063.750212043 69870816.1932125 1.67928900282092 5 TRUE
2001 150449.33942012 63935244.6266853 2.097503678646 0 TRUE
2001 149050.281874323 63705331.0841911 2.09788913334809 1 TRUE
2001 148995.905974859 65175245.0053812 2.04129338684134 2 TRUE
2001 148621.992318023 65061621.8016127 2.04152869427115 3 TRUE
2001 140737.124117009 60773613.5930191 2.13225837246299 4 TRUE
2001 142927.276897849 61119889.3290856 2.13947853258309 5 TRUE
2002 110504.541339658 72756869.5321523 1.7697548382264 0 TRUE
2002 110124.162996784 72826334.682551 1.78550274018969 1 TRUE
2002 112341.931228233 74015729.3021459 1.78667197300286 2 TRUE
2002 112231.294660758 73710307.7950041 1.82504687142082 3 TRUE
2002 104922.697465968 63873620.8547001 2.09779916212496 4 TRUE
2002 106196.868556927 64730720.0388038 2.10523637384545 5 TRUE
2003 121265.294686675 96826795.7566103 1.55392603749486 0 TRUE
2003 121091.322802522 97754897.9983985 1.55450258533235 1 TRUE
2003 122707.999670908 102409555.563368 1.51209334170656 2 TRUE
2003 121675.395091851 104582113.3058 1.48861398305009 3 TRUE
2003 104848.851747172 112090660.14334 1.41683710407063 4 TRUE
2003 106575.193987008 112904577.531584 1.42366538601328 5 TRUE
2004 149133.915362029 155312991.661186 2.23179906727218 0 TRUE
2004 150428.651704952 158068326.692521 2.23288761329729 1 TRUE
2004 157052.297263808 170621118.144873 2.13327844358314 2 TRUE
2004 160373.495697029 175216383.714818 2.11331647517698 3 TRUE
2004 168745.059070776 209179179.275219 1.96278317440632 4 TRUE
2004 170666.868877959 210568816.142061 1.97265251833065 5 TRUE
2005 194173.73511649 64804641.1545294 1.5230652448171 0 TRUE
2005 197628.82741334 65301981.5908585 1.53296813932726 1 TRUE
2005 214428.857580158 66043742.8961369 1.53133265394056 2 TRUE
2005 221131.995212016 67929325.7685396 1.5335363071833 3 TRUE
2005 270554.204426543 75353839.7959336 1.73759717204538 4 TRUE
2005 273201.375298447 75531135.0147304 1.74489923633873 5 TRUE
2006 160398.060010485 81012016.576999 1.65818697733881 0 TRUE
2006 162415.590318936 81044736.1641219 1.68730397046475 1 TRUE
2006 168817.525072638 81433894.3309795 1.69390675662972 2 TRUE
2006 174161.773082775 82810439.1744142 1.74492469883559 3 TRUE
2006 196271.802557304 71377496.2540922 2.15134117435007 4 TRUE
2006 198504.15208743 71479886.8205584 2.15493834259356 5 TRUE
2007 122421.602452276 55236473.4417741 2.00811395822357 0 TRUE
2007 122170.173293507 55642211.1811077 1.99899252408479 1 TRUE
2007 122573.832918356 56571716.7331226 1.91013290962617 2 TRUE
2007 123969.03529145 57996992.1137099 1.88245942434884 3 TRUE
2007 107457.15561271 58963538.151458 1.78257350409625 4 TRUE
2007 108228.834095518 59666455.344329 1.79126154426687 5 TRUE
2008 73295.6346236691 127064891.342743 1.33961115157243 0 TRUE
2008 73997.2257575216 128933782.421101 1.33864458311671 1 TRUE
2008 76041.2708959466 138895606.108329 1.20860148048803 2 TRUE
2008 78453.2068001888 143712559.720425 1.17403710059981 3 TRUE
2008 79353.6112583924 179270838.984802 0.856232796785628 4 TRUE
2008 80403.6954659488 181027594.932391 0.864114726338282 5 TRUE
2009 163265.47693673 98838142.4247907 0.886855959431532 0 TRUE
2009 165660.045214403 100387726.626807 0.88870028191068 1 TRUE
2009 179987.152929453 107086897.550715 0.875324873150341 2 TRUE
2009 187283.485140428 111041447.588343 0.884443187612288 3 TRUE
2009 239241.935157047 152509890.745847 1.04588633742963 4 TRUE
2009 241886.058224781 154442037.569849 1.05549447549099 5 TRUE
2010 180116.600800209 109305681.150141 1.07336839296884 0 TRUE
2010 183054.009576967 109627525.290136 1.07870217549507 1 TRUE
2010 196710.305373308 112513027.795025 1.01514275633929 2 TRUE
2010 203849.749204651 115512021.010691 0.998556160031246 3 TRUE
2010 263918.763304117 152357511.164098 0.916208081213045 4 TRUE
2010 267408.805189923 154085837.676849 0.925785015416843 5 TRUE
2011 157309.650244388 80350185.073503 0.897992929330974 0 TRUE
2011 158489.914786854 80602589.4867073 0.908183433602638 1 TRUE
2011 167886.536823897 81439864.3902981 0.893652913197643 2 TRUE
2011 174153.285943104 83055676.4114382 0.904458439273646 3 TRUE
2011 240383.133391844 93115474.6245903 1.25392411356216 4 TRUE
2011 243329.962835013 94057996.7903183 1.25967352665803 5 TRUE
2012 124831.154632195 68223225.5276085 1.4369898685366 0 TRUE
2012 125057.423947869 68586241.9076125 1.43579096582491 1 TRUE
2012 128348.918887887 71177800.3987255 1.38869244878022 2 TRUE
2012 131318.180820776 73315218.9123274 1.38203921077227 3 TRUE
2012 145240.56512106 89559376.0545059 1.36986932261076 4 TRUE
2012 147254.999663729 90142930.0050425 1.37796143421104 5 TRUE
2013 93522.03688017 172102854.095728 1.27922509438264 0 TRUE
2013 94116.3989845294 173277900.159735 1.29031626339613 1 TRUE
2013 97765.9011424865 184034633.513688 1.21651238737349 2 TRUE
2013 100765.970676049 186353724.273059 1.2297351279555 3 TRUE
2013 121893.949850461 235900416.437632 1.54001285405459 4 TRUE
2013 123136.268740029 236781844.990159 1.54427366504436 5 TRUE
2014 196985.018285738 173845684.720572 0.552976650222604 0 TRUE
2014 198138.189255282 174269138.071697 0.553185371093598 1 TRUE
2014 211504.48308707 179122234.538734 0.534780973748451 2 TRUE
2014 214618.118060697 180761676.021447 0.527427798276344 3 TRUE
2014 263089.56880208 211928433.47129 0.477885321672415 4 TRUE
2014 264842.934253053 219845481.417115 0.504192782452372 5 TRUE
2015 295713.66449462 120486674.156313 1.18395234590391 0 TRUE
2015 297154.326399716 120013809.586883 1.2047639015227 1 TRUE
2015 311187.250068551 121325350.177429 1.24552419258072 2 TRUE
2015 315613.643378893 125288102.803691 1.31147352346349 3 TRUE
2015 389363.803491668 141428181.669361 2.11627737920794 4 TRUE
2015 396065.069700546 144928463.785279 2.15868197635622 5 TRUE
2016 222432.530051694 161095177.407669 2.15650065918925 0 TRUE
2016 222109.905882342 160979647.289287 2.15998675308875 1 TRUE
2016 224311.09946552 160305687.172458 2.12603234540203 2 TRUE
2016 222233.754139056 161439992.446045 2.13114035246937 3 TRUE
2016 194178.751315618 149764081.01881 2.01594858251705 4 TRUE
2016 194104.523321375 152235819.786548 2.02060866358016 5 TRUE
2017 171148.899431726 206060749.169946 1.36579939999353 0 TRUE
2017 172323.507154346 206779519.099623 1.37368136740766 1 TRUE
2017 173334.073988274 209044125.053379 1.33569257939855 2 TRUE
2017 173250.558088812 212922947.721003 1.33301818475363 3 TRUE
2017 161595.297842999 215985571.883378 1.42326188824027 4 TRUE
2017 161457.199216559 221155759.124181 1.43824323694231 5 TRUE
2018 206312.484780197 193243013.79673 1.1724341190812 0 TRUE
2018 208046.550376173 194501728.444215 1.19084269382253 1 TRUE
2018 211286.654848751 199437678.977499 1.17463638286695 2 TRUE
2018 212885.232223544 209914897.210905 1.19086940003809 3 TRUE
2018 202738.867253868 248869631.269936 1.28888779453079 4 TRUE
2018 204125.694040918 214986106.648806 1.27370768671624 5 TRUE
2019 221356.019842212 175137115.436261 1.10481338715964 0 TRUE
2019 223130.495011679 177203041.92751 1.10291459962149 1 TRUE
2019 228881.817761483 190298393.712584 1.02627139362591 2 TRUE
2019 234936.062621045 188106419.547402 1.00807828045052 3 TRUE
2019 249666.104710845 214262331.641782 0.78768928477079 4 TRUE
2019 224069.33019794 277651314.106406 0.806735762853997 5 TRUE
2020 279066.351686914 132890000.876018 1.64671042906927 0 TRUE
2020 283567.194035158 133155352.537907 1.65268954788655 1 TRUE
2020 305285.644834169 123893795.688671 1.61079467801219 2 TRUE
2020 307175.290455924 132126739.895681 1.51462746704166 3 TRUE
2020 360758.778092593 119572610.216633 1.21592880476519 4 TRUE
2020 400989.160174398 NA NA 5 TRUE
2021 143418.987707544 157463633.282226 1.84721417221958 0 TRUE
