"1" "2" "3" "4"
"1983" 0.19526281522644 0.178317570945643 0.174741509275392 0.193622103960981
"1984" 0.186707139122054 0.165474163760409 0.174448611768846 0.210780018851944
"1985" 0.189399759624243 0.166001307245955 0.189142787382273 0.217143251813849
"1986" 0.195954287077371 0.177142972575591 0.185307422669326 0.240136531246861
"1987" 0.194027350770879 0.169010648979615 0.178342615203012 0.211635917831641
"1988" 0.221526534738404 0.161245417620186 0.168329988158001 0.203244722888872
"1989" 0.202686193441618 0.175917747070022 0.165311642382807 0.197440935062609
"1990" 0.219021871567764 0.17671169508269 0.18053549519689 0.188788154807996
"1991" 0.197930001844544 0.178693203260484 0.175326886722211 0.202000482706977
"1992" 0.207891802080033 0.184537805756915 0.177785012298227 0.203011064798262
"1993" 0.197948042380826 0.166121117859453 0.149949190818593 0.179564731383724
"1994" 0.19805535064613 0.160336595332895 0.155971888752636 0.172392310528819
"1995" 0.200609882454362 0.161390824891146 0.153040928376389 0.170650307731465
"1996" 0.226010531232722 0.177868474264009 0.17118813091161 0.178035346637554
"1997" 0.236898896491214 0.17876052180126 0.169978448201933 0.192657501822625
"1998" 0.195433949301068 0.160114589268764 0.160221732588071 0.16889519145532
"1999" 0.213583991439779 0.168845394780247 0.16273841323798 0.196436005165864
"2000" 0.200277880429282 0.17248317060244 0.164987268437332 0.160765591495144
"2001" 0.189542907043032 0.152420327169558 0.14670338208918 0.161345100931259
"2002" 0.2015094720345 0.158378979562321 0.162773824871068 0.174722097612478
"2003" 0.205603548413256 0.161096677239806 0.16045293196863 0.190592102982833
"2004" 0.215076583008297 0.172363309642841 0.166757310177428 0.182385096490095
"2005" 0.21133859261978 0.170534621805853 0.161739189184021 0.246679014663096
"2006" 0.228356233011581 0.179962694460619 0.165866609189268 0.215817173150154
"2007" 0.222116954140555 0.191880961037334 0.18279759690731 0.190732626957201
"2008" 0.215750867368895 0.185293236881855 0.174671187391847 0.205836703813403
"2009" 0.221568798445184 0.186247114480954 0.178196059634898 0.228367983614485
"2010" 0.217166439571574 0.190587746502112 0.17912209231737 0.203702083088233
"2011" 0.231148678480667 0.182807554220278 0.160171108920021 0.176287484367565
"2012" 0.216303274782883 0.172180574460249 0.167317299133548 0.183269742416589
"2013" 0.218668256282402 0.174855851366653 0.166181970370201 0.192552723200258
"2014" 0.2357814445732 0.18875180003019 0.172483670093376 0.215412155278865
"2015" 0.213409327729154 0.178757757214798 0.160709593734345 0.183394834874562
"2016" 0.210396810960324 0.178957831689781 0.168221657980718 0.173527662714373
"2017" 0.21764890373284 0.184536464223207 0.163858966122772 0.196220485299313
"2018" 0.227384132695942 0.17941561923846 0.165655924377659 0.200728998701137
"2019" 0.211468304186396 0.181511086541133 0.171206928210241 0.199627738379706
"2020" 0.214109651764913 0.185240213400154 0.166848920959871 0.198706849544696
"2021" 0.22946573758469 0.168236096951979 0.164423777889807 0.209727445776833
"2022" 0.237455922727611 0.191563026630627 0.185454538821945 0.26058504095368
"2023" 0.219078821903597 0.200838033381615 0.178070675038419 0.270235145485302
"2024" 0.246475736501999 0.194350044041203 0.176126967964813 0.284499938412948
"2025" 0.230493372674413 0.202589935929519 0.194258706650132 0.288166542247366
