"0" "1" "2" "3" "4"
"1992" 0.416861356230571 0.339696015542234 0.287509415846682 0.286443693460138 0.26400036485737
"1993" 0.723663620435069 0.333326434892816 0.264423308285717 0.265677727309811 0.228213565336601
"1994" 0.440557787932375 0.318189451091017 0.301633961772902 0.290175365918695 0.404523665771829
"1995" 2.92542922294408 0.452107060163904 0.430342774788974 0.418290595275068 0.32788328518053
"1996" 1.07900624696 0.34090839222612 0.313170766675186 0.281689982267589 0.260400052768754
"1997" 0.513431916966597 0.393766069536399 0.364474081168559 0.372373911530967 0.306376110280894
"1998" 0.43878923597883 0.333485534370089 0.298766621276772 0.317742216141037 0.254752368007899
"1999" 0.355826917117821 0.287061611729555 0.277519732245639 0.279243371106455 0.276937503236294
"2000" 0.938293177662331 0.31946010360751 0.323177814743261 0.30378264579435 0.280922832108362
"2001" 0.780943549763117 0.292811210979422 0.271656514282824 0.26431757353556 0.280815589796866
"2002" 0.428708867333132 0.324691671570295 0.302757446815267 0.290456370882161 0.264202963328499
"2003" 0.695823173450044 0.304574314042998 0.296715456309859 0.326659268714447 0.315210350183992
"2004" 0.401420362040329 0.314059030068876 0.279795588639629 0.295886019925474 0.261687873375996
"2005" 0.979529038162855 0.293769445553641 0.292514227276018 0.29352151482964 0.252602330584661
"2006" 1.15804026883171 0.335648808419486 0.295276525132829 0.293809641179214 0.299561807443343
"2007" 0.457409029873856 0.350380118825293 0.340126261639188 0.326610471373838 0.319434893199168
"2008" 0.491390955426564 0.35285697030038 0.34257351272026 0.303273549568995 0.285032146353678
"2009" 0.47810712280483 0.334773558705196 0.318300450181179 0.290994605888741 0.275364553972772
"2010" 0.375922519688513 0.311991394658867 0.288035798894068 0.269795208450456 0.244687053592215
"2011" 0.967569405722701 0.309704329125139 0.298533365354466 0.268296420518088 0.24329571395177
"2012" 0.828066668510487 0.30423089360398 0.286034509956977 0.277659945381513 0.238705134716595
"2013" 1.63923198729914 0.363744328087197 0.344476069879977 0.321490000233581 0.283608659272432
"2014" 0.389351133475079 0.27663037953842 0.275923072636918 0.258476329141534 0.243752254327502
"2015" 0.886193506239653 0.276782003512439 0.256028496291883 0.263535776602994 0.257670829394832
"2016" 0.38456744647357 0.283136142672314 0.265596138386113 0.24804273450538 0.237646433411802
"2017" 0.404987617278193 0.308236927445164 0.304465138001757 0.291769331953672 0.30214839904225
"2018" 0.381960634991596 0.29983607297558 0.308999432259717 0.296647813130998 0.27660966925641
"2019" 0.40004312785248 0.292942975097817 0.275298843214482 0.276501083862022 0.236854003411909
"2020" 0.523726074964416 0.299798075960268 0.262475267893205 0.259223133458043 0.258315042014643
"2021" 0.364582085267947 0.30517034512406 0.277714606518059 0.26778490328013 0.272826205124097
"2022" 0.385041351742363 0.335209600572855 0.306689913625981 0.292611637181977 0.300474953180445
"2023" 0.382259435676553 0.333618146706855 0.271186968470603 0.278577842342891 0.273116210424729
"2024" 0.395692549511053 0.369356868173659 0.326834269454031 0.343940553065181 0.348429817143654
