"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 535066.300317574 261161406.044343 0.933452007431816 0 TRUE
1974 537381.528003918 256236180.260194 0.936944182692703 1 TRUE
1974 536659.004000036 257279020.452272 0.929941119239111 2 TRUE
1974 536836.988255142 257974011.661693 0.924229539336439 3 TRUE
1974 533799.345419455 264723032.520856 0.920030018267572 4 TRUE
1974 532761.987900622 266587334.001754 0.9236352639798 5 TRUE
1975 469344.555262039 494052743.285066 1.80015884224701 0 TRUE
1975 468885.61654319 493411568.456458 1.80305331852468 1 TRUE
1975 469119.85576793 493556510.608486 1.79129769763542 2 TRUE
1975 472202.585906538 493428290.791388 1.79825516701003 3 TRUE
1975 475255.224038475 497242380.626428 1.796975287793 4 TRUE
1975 476663.446466303 498349446.005647 1.79858284253302 5 TRUE
1976 366588.634473012 262368039.375871 1.86870499997097 0 TRUE
1976 366216.771241368 263257370.091487 1.86271740484801 1 TRUE
1976 366540.776145226 263997824.539058 1.85732202958777 2 TRUE
1976 367199.821391917 260782385.375147 1.8633473435054 3 TRUE
1976 370455.958314544 259917863.785072 1.87205772980847 4 TRUE
1976 372214.828404007 261312184.949009 1.88321507853314 5 TRUE
1977 289984.29185868 386407995.611223 2.11631795508085 0 TRUE
1977 293108.778025249 386067239.625569 2.12438796563617 1 TRUE
1977 292898.539858604 387187772.016351 2.11059775396903 2 TRUE
1977 291374.82296376 384575026.619188 2.10247053278146 3 TRUE
1977 289380.306135962 386545183.839128 2.0973310155284 4 TRUE
1977 290932.477123166 388444945.981198 2.1024155556564 5 TRUE
1978 282538.650304267 413632199.856019 1.51675472577447 0 TRUE
1978 283303.429641006 414946411.324405 1.52013844977185 1 TRUE
1978 283969.875195327 415184727.439718 1.51258171204901 2 TRUE
1978 283187.711197603 413033516.627496 1.51172720114956 3 TRUE
1978 283932.818146106 415273888.943606 1.51127525648142 4 TRUE
1978 285879.991398298 417172415.028711 1.52035064714947 5 TRUE
1979 313429.015833481 319111723.025439 0.850432105661369 0 TRUE
1979 315131.791153001 317939964.316038 0.843327110378497 1 TRUE
1979 315179.955840696 319287179.90387 0.843635073251679 2 TRUE
1979 314457.645764643 315840297.662607 0.847797300230068 3 TRUE
1979 315560.049143972 320553958.511654 0.852758380786686 4 TRUE
1979 317251.4534221 322378271.765248 0.860622078738055 5 TRUE
1980 285974.230484393 168999195.991138 2.28702934081943 0 TRUE
1980 287566.687346052 168103540.820717 2.29700077984427 1 TRUE
1980 287692.367675159 168861760.538688 2.27461789052308 2 TRUE
1980 285640.118820959 167988117.271979 2.27377482726679 3 TRUE
1980 287488.882360697 168493463.639154 2.25767489976673 4 TRUE
1980 288802.776680387 168176655.009777 2.26020988908232 5 TRUE
1981 207402.676392836 70849986.2141985 1.37716517517766 0 TRUE
1981 207360.666344751 70772940.0641132 1.39963405231441 1 TRUE
1981 208587.525176229 70600196.6740681 1.38297473298738 2 TRUE
1981 208158.397558783 71144284.3770695 1.38562577372491 3 TRUE
1981 209372.247433422 71833808.5620106 1.36144174192511 4 TRUE
1981 210075.682407915 72346259.5580582 1.37506044936571 5 TRUE
1982 134384.284888853 44364206.3043903 1.14037023898695 0 TRUE
1982 133691.40881112 44205434.969027 1.14316104590194 1 TRUE
1982 134331.932874755 43818118.9283088 1.12888985698867 2 TRUE
1982 134947.309224532 43430141.5733754 1.14623488796441 3 TRUE
1982 136608.607446149 43509322.2439792 1.14698341026609 4 TRUE
1982 136759.485513282 43746954.9304728 1.15801224662881 5 TRUE
1983 82807.0017834725 39287845.8914751 1.81710127355624 0 TRUE
1983 82773.6001566244 39140368.356935 1.84040865129535 1 TRUE
1983 82637.6026317254 39042310.1745515 1.81633674565585 2 TRUE
1983 82136.7224028991 38807425.398665 1.81476507787878 3 TRUE
1983 82386.7185808208 39793392.7974343 1.80093786757676 4 TRUE
1983 82651.6896395553 40657138.1722205 1.82901563716918 5 TRUE
1984 51514.6248268512 19835066.0274906 1.44971526500697 0 TRUE
1984 51264.1139666463 19914881.1789876 1.45236212437126 1 TRUE
1984 51261.9114324343 19853013.6241361 1.43302738420357 2 TRUE
1984 51113.701109464 19637889.8100148 1.44372842571693 3 TRUE
1984 52067.6251017556 20133453.7576516 1.4417501985175 4 TRUE
1984 52654.8634647793 20589450.4503371 1.45308660072939 5 TRUE
1985 53371.8041914732 14906702.3345866 1.51958675641142 0 TRUE
1985 53670.0126841387 15064646.5935228 1.53175072559544 1 TRUE
1985 53732.2125007754 15014431.7134748 1.51027019386684 2 TRUE
1985 53291.2735178974 14871306.2581594 1.52151704553157 3 TRUE
1985 54400.2586733115 14949591.6093292 1.49896586365868 4 TRUE
1985 55486.4741547684 15140719.5959 1.51073939336205 5 TRUE
1986 28159.9172700469 54811747.6646144 0.654973021261603 0 TRUE
1986 28413.6438514585 54519645.3715218 0.678424405257907 1 TRUE
1986 28469.0266584471 54431988.8892311 0.652279989330327 2 TRUE
1986 28164.1991466173 54051699.194788 0.66416677079948 3 TRUE
1986 28601.4112947155 55266349.4095644 0.632111266801218 4 TRUE
1986 29022.8126987826 55924134.5563349 0.631500382038392 5 TRUE
1987 52036.2232891996 29098366.985607 0.515863951489736 0 TRUE
1987 51721.778243288 29215716.3880592 0.518902297310123 1 TRUE
1987 51861.1096837042 29134437.1277421 0.511473787558204 2 TRUE
1987 51405.6673511829 28223218.0591616 0.520905541253982 3 TRUE
1987 52746.2496844847 28741142.4502216 0.52509483220024 4 TRUE
1987 53436.5951765038 29456317.8854659 0.533093043957586 5 TRUE
1988 50738.4093526038 38925347.6681697 1.31581985423471 0 TRUE
1988 50727.6827385489 39634310.9413512 1.33297927301399 1 TRUE
1988 50770.0163599164 39842586.824796 1.30418707284318 2 TRUE
1988 49712.1417291474 38898584.6812472 1.30953431225613 3 TRUE
1988 50600.2806220565 39810861.6366367 1.28476486582857 4 TRUE
1988 51401.9884682646 41393605.3229478 1.30064633931206 5 TRUE
1989 34470.5237453405 40027631.450775 0.345574844099421 0 TRUE
1989 34874.3541990497 40117722.4228072 0.346514283147498 1 TRUE
