"years" "SSB" "R" "Fbar" "peel" "convergence"
1974 545278.988266344 262555494.441085 0.964498077038466 0 TRUE
1974 551662.370225314 261278505.721255 0.977380293148635 1 TRUE
1974 558645.071598963 270124653.541149 0.998659321622021 2 TRUE
1974 560699.819530256 266742407.921129 0.99489023846967 3 TRUE
1974 555975.04251333 268848602.700237 0.992289089347833 4 TRUE
1974 550607.313093037 269305560.440962 0.984098418712884 5 TRUE
1975 473231.514228612 483631395.210528 1.81486657446028 0 TRUE
1975 475585.470969072 483011635.310763 1.8316466927827 1 TRUE
1975 488864.792277526 486809906.907786 1.88616922791552 2 TRUE
1975 486385.690660511 487269357.784125 1.88255907060747 3 TRUE
1975 486706.221576562 490151326.018636 1.89088329001571 4 TRUE
1975 488747.953106654 493146729.436744 1.89295232432462 5 TRUE
1976 359271.753550038 251919104.491354 1.85592097489564 0 TRUE
1976 359064.400382826 251256236.391871 1.87102588724592 1 TRUE
1976 364269.865453931 249300883.854623 1.93376079152898 2 TRUE
1976 363481.745728112 250641454.000915 1.92316010490604 3 TRUE
1976 365632.741062808 250881779.475723 1.93120997380447 4 TRUE
1976 368208.535221813 250878922.833759 1.92600552496159 5 TRUE
1977 282223.653215789 382123138.525767 2.15975705864715 0 TRUE
1977 282888.815264479 381785638.012574 2.17370376081351 1 TRUE
1977 284024.775505598 382401297.051092 2.2044897985048 2 TRUE
1977 284615.056231028 383008584.655943 2.20149169730461 3 TRUE
1977 285125.061310907 384911957.871757 2.20009253452668 4 TRUE
1977 287439.083819924 385935370.095568 2.20167227796218 5 TRUE
1978 276061.641281679 405716020.177327 1.5207725824725 0 TRUE
1978 276557.569307248 404261568.265145 1.53364259406149 1 TRUE
1978 279454.820387441 407498987.510809 1.58521593862455 2 TRUE
1978 279640.409589261 403238733.46001 1.58092645654955 3 TRUE
1978 281406.351796612 407074736.980576 1.58666601795929 4 TRUE
1978 282683.305135504 414461942.128027 1.58448664756149 5 TRUE
1979 307376.55010836 295988423.999616 0.837606269073304 0 TRUE
1979 307118.580011093 292697110.412995 0.850606699098775 1 TRUE
1979 310430.712930715 292262284.49266 0.892398446371059 2 TRUE
1979 307557.141714828 290671296.76007 0.890303682321969 3 TRUE
1979 310325.188643907 292306857.661468 0.896500556765493 4 TRUE
1979 315819.046516888 298037168.419181 0.878222268875586 5 TRUE
1980 273232.870077757 165612590.360894 2.29821682456248 0 TRUE
1980 271136.844627731 163228459.640124 2.31277073498684 1 TRUE
1980 271166.613708343 161712664.676109 2.34728218484722 2 TRUE
1980 268753.16845447 161178861.806982 2.34350339023651 3 TRUE
1980 270300.372422268 161887030.468259 2.33920281579548 4 TRUE
1980 277752.334012711 163129890.316468 2.33433116448681 5 TRUE
1981 200379.344127011 70399213.1312758 1.34037011715066 0 TRUE
1981 198553.690804204 70654002.9504063 1.36870795810057 1 TRUE
1981 199781.219342121 70277736.1871573 1.45518303089531 2 TRUE
1981 198373.833136174 70367555.8954779 1.44946616908293 3 TRUE
1981 199821.693055668 70846418.4139046 1.44877827623763 4 TRUE
1981 203195.609079275 70822538.992062 1.46067289084394 5 TRUE
1982 134872.815145181 45107886.4578596 1.19862554317861 0 TRUE
1982 133668.303468886 44770619.7809395 1.22010477898427 1 TRUE
1982 131307.957865383 42504433.1449966 1.29930937846012 2 TRUE
1982 130790.503279675 42650118.1875217 1.30122677815076 3 TRUE
