div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,1986,1,4,130693.31492,229946.89358,345787.2703,3455.1863333,9633.2645907,0.0075259395,0.0123844345,0.0165791702,0.0199833954,
IV,1986,2,1,115353.12661,202956.77053,305200.32943,3049.6322385,8502.5557015,0.0067347834,0.0124575013,0.016829179,0.0200260745,
IV,1986,3,0,530914.30924,42309.647228,354.85903486,0,5216.3024992,0.0085270558,0.01610197,0.022256464,0.0156978131,
IV,1986,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1987,1,16,3696.7804879,2045772.4703,87821.369586,715.94940673,18815.284289,0.0064705977,0.0086597758,0.0121201034,0.0154045929,
IV,1987,2,15,60558.481808,1627098.3984,202374.58428,825.67351071,17941.825212,0.005881119,0.0093873585,0.0113535945,0.0167604508,
IV,1987,3,4,233960.63792,788708.90222,37571.425331,21735.910016,12728.401515,0.0067381943,0.0127239936,0.0175873576,0.0209616336,
IV,1987,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1988,1,8,4310377.6707,1932014.8849,2594219.3719,31958.703645,67503.613705,0.0043473139,0.0090197616,0.0119089634,0.0138811847,
IV,1988,2,4,1192767.751,286513.33466,488508.75493,8847.9086918,13917.791781,0.0046863312,0.0086684268,0.0117104148,0.0139898788,
IV,1988,3,9,1829278.5466,636926.29035,57066.669554,5295.1696742,20058.725416,0.0052939278,0.0144153006,0.0194224381,0.0160144028,
IV,1988,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1989,1,13,14722.417934,1857120.3159,3336475.7104,3753.1835841,49548.918124,0.0056547928,0.0086184197,0.0100101811,0.0163854533,
IV,1989,2,0,926.27630548,80910.592344,80464.366641,211.1383723,1561.4774603,0.0044324334,0.0081987856,0.0110759637,0.0131799699,
IV,1989,3,7,479954.7555,389828.65903,16075.568087,8855.1778687,5832.5459233,0.0047833514,0.0081912356,0.0126015826,0.0159226263,
IV,1989,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1990,1,4,1868.8737072,2674355.3199,2095202.9328,221170.17414,41034.956594,0.0042620837,0.0070135426,0.0093891018,0.0116378557,
IV,1990,2,0,1460.7363017,2090311.338,1637638.205,172869.52081,32073.462483,0.0037812524,0.0069942795,0.0094487633,0.0113746015,
IV,1990,3,13,282754.10863,54868.647598,1978.7740442,453.28051052,1853.856971,0.0044574649,0.0102016169,0.0135527105,0.0152748225,
IV,1990,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
