"model" "AIC"
"2024 model" 2545.0240819844
"power" 3213.05196138714
"power - estRSD" 3215.05243514971
"no power" 3215.67959006958
"nopower estRSD" 3217.65421804935
"no power - estRSD - SR" 3227.44748396185
